date,season,year,month,weekday,working_day,weather,temperature,humidity,windspeed,total_rentals,weather_description,hour,temperature_hourly,humidity_hourly,windspeed_hourly,hourly_rentals
2011-01-02,1,0,1,0,0,2,0.363478,0.696087,0.248539,801,Misty,22,0.24,0.44,0.2985,9
2011-01-02,1,0,1,0,0,2,0.363478,0.696087,0.248539,801,Misty,23,0.22,0.47,0.1642,8
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,0,0.22,0.44,0.3582,5
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,1,0.2,0.44,0.4179,2
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,4,0.16,0.47,0.3881,1
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,5,0.16,0.47,0.2836,3
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,6,0.14,0.5,0.3881,30
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,7,0.14,0.5,0.194,64
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,8,0.14,0.5,0.2836,154
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,9,0.16,0.43,0.3881,88
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,10,0.18,0.43,0.2537,44
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,11,0.2,0.4,0.3284,51
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,12,0.22,0.35,0.2985,61
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,13,0.24,0.35,0.2836,61
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,14,0.26,0.3,0.2836,77
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,15,0.26,0.3,0.2537,72
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,16,0.26,0.3,0.2537,76
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,17,0.24,0.3,0.2239,157
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,18,0.24,0.32,0.1045,157
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,19,0.2,0.47,0.0,110
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,20,0.2,0.47,0.1045,52
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,21,0.18,0.64,0.1343,52
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,22,0.14,0.69,0.1343,20
2011-01-03,1,0,1,1,1,1,0.196364,0.437273,0.248309,1349,Clear,23,0.18,0.55,0.1045,12
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,0,0.16,0.55,0.1045,5
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,1,0.16,0.59,0.1045,2
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,2,0.14,0.63,0.1343,1
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,4,0.14,0.63,0.0896,2
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,5,0.12,0.68,0.1045,4
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,6,0.12,0.74,0.1045,36
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,7,0.12,0.74,0.1343,94
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,8,0.14,0.69,0.1642,179
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,9,0.16,0.64,0.2239,100
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,10,0.16,0.69,0.3284,42
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,11,0.22,0.51,0.2985,57
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,12,0.22,0.51,0.1642,78
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,13,0.24,0.56,0.194,97
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,14,0.26,0.52,0.2239,63
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,15,0.28,0.52,0.2537,65
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,16,0.3,0.49,0.2537,83
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,17,0.28,0.48,0.2239,212
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,18,0.26,0.48,0.194,182
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,19,0.24,0.48,0.1045,112
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,20,0.24,0.48,0.1045,54
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,21,0.22,0.64,0.0,48
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,22,0.22,0.64,0.0896,35
2011-01-04,1,0,1,2,1,1,0.2,0.590435,0.160296,1562,Clear,23,0.2,0.69,0.0896,11
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,0,0.2,0.64,0.0,6
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,1,0.16,0.74,0.0896,6
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,2,0.16,0.74,0.0896,2
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,4,0.24,0.48,0.2239,2
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,5,0.22,0.47,0.1642,3
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,6,0.2,0.47,0.2239,33
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,7,0.18,0.43,0.194,88
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,8,0.2,0.4,0.2985,195
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,9,0.22,0.37,0.3284,115
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,10,0.22,0.37,0.3284,57
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,11,0.26,0.33,0.3284,46
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,12,0.26,0.33,0.3284,79
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,13,0.28,0.3,0.2985,71
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,14,0.3,0.28,0.194,62
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,15,0.3,0.28,0.194,62
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,16,0.3,0.28,0.0896,89
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,17,0.24,0.38,0.194,190
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,18,0.24,0.38,0.1343,169
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,19,0.24,0.38,0.1045,132
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,20,0.22,0.47,0.1642,89
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,21,0.2,0.51,0.194,43
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,22,0.18,0.55,0.1343,42
2011-01-05,1,0,1,3,1,1,0.226957,0.436957,0.1869,1600,Clear,23,0.2,0.47,0.0,19
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,0,0.18,0.55,0.0,11
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,1,0.16,0.64,0.0,4
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,2,0.16,0.64,0.0,2
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,4,0.16,0.64,0.0896,1
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,5,0.14,0.69,0.0896,4
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,6,0.14,0.63,0.1045,36
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,7,0.16,0.59,0.0,95
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,8,0.16,0.59,0.0,219
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,9,0.18,0.51,0.0,122
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,10,0.2,0.47,0.0,45
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,11,0.22,0.44,0.0896,59
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,12,0.26,0.35,0.0,84
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,13,0.26,0.35,0.1045,67
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,14,0.28,0.36,0.1642,70
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,15,0.28,0.36,0.0,62
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,16,0.26,0.38,0.1642,86
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,17,0.22,0.51,0.1642,172
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,18,0.22,0.51,0.1343,163
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,19,0.22,0.55,0.0896,112
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,20,0.2,0.51,0.1642,69
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,21,0.22,0.55,0.2239,48
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,22,0.22,0.51,0.2836,52
2011-01-06,1,0,1,4,1,1,0.204348,0.518261,0.0895652,1606,Clear,23,0.2,0.59,0.194,23
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,0,0.2,0.64,0.194,17
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,1,0.2,0.69,0.2239,7
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,2,0.2,0.69,0.2239,1
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,4,0.2,0.69,0.1343,1
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,5,0.22,0.55,0.0,5
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,6,0.2,0.69,0.0,34
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,7,0.2,0.69,0.1343,84
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,8,0.2,0.51,0.2537,210
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,9,0.2,0.47,0.2985,134
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,10,0.22,0.37,0.3284,63
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,11,0.2,0.4,0.2239,67
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,12,0.2,0.37,0.2537,59
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,13,0.2,0.37,0.2836,73
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,14,0.2,0.4,0.2537,50
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,15,0.2,0.37,0.1642,72
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,16,0.2,0.37,0.1642,87
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,17,0.2,0.37,0.0,187
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,18,0.2,0.4,0.0896,123
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,19,0.16,0.55,0.0896,95
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,20,0.18,0.47,0.1045,51
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,21,0.18,0.47,0.1343,39
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,22,0.18,0.43,0.1642,36
2011-01-07,1,0,1,5,1,2,0.196522,0.498696,0.168726,1510,Misty,23,0.18,0.51,0.1642,15
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,0,0.18,0.51,0.1642,25
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,1,0.18,0.55,0.0896,16
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,2,0.18,0.55,0.0,16
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,3,0.18,0.55,0.1642,7
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,4,0.18,0.55,0.1642,1
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,5,0.16,0.74,0.1642,5
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,6,0.16,0.74,0.1642,2
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,7,0.16,0.74,0.1045,9
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,8,0.16,0.93,0.1045,15
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,9,0.16,0.93,0.1045,20
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,10,0.18,0.8,0.1642,61
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,11,0.2,0.69,0.3881,62
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,12,0.2,0.59,0.3582,98
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,13,0.2,0.44,0.3284,102
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,14,0.2,0.32,0.4925,95
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,15,0.2,0.32,0.4478,74
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,16,0.18,0.29,0.4478,76
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,17,0.16,0.37,0.5522,69
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,18,0.14,0.39,0.2985,55
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,19,0.14,0.36,0.2537,30
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,20,0.12,0.36,0.2537,28
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,21,0.12,0.39,0.3582,37
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,22,0.12,0.36,0.3881,34
2011-01-08,1,0,1,6,0,2,0.165,0.535833,0.266804,959,Misty,23,0.1,0.39,0.4478,22
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,0,0.1,0.42,0.3881,25
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,1,0.1,0.42,0.4627,12
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,2,0.1,0.46,0.4627,11
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,3,0.1,0.46,0.4179,4
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,4,0.08,0.53,0.194,1
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,5,0.08,0.53,0.194,1
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,6,0.1,0.49,0.2836,1
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,7,0.08,0.53,0.194,6
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,8,0.1,0.49,0.2836,10
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,9,0.12,0.46,0.5224,19
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,10,0.14,0.43,0.3881,49
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,11,0.16,0.4,0.5224,49
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,12,0.18,0.37,0.4478,83
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,13,0.2,0.34,0.4478,75
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,14,0.22,0.32,0.4627,72
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,15,0.22,0.35,0.3582,82
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,16,0.2,0.34,0.4478,92
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,17,0.18,0.37,0.3881,62
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,18,0.16,0.4,0.3284,48
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,19,0.16,0.43,0.3284,41
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,20,0.14,0.46,0.2537,38
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,21,0.14,0.46,0.4179,20
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,22,0.14,0.46,0.2985,15
2011-01-09,1,0,1,0,0,1,0.138333,0.434167,0.36195,822,Clear,23,0.12,0.5,0.194,6
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,0,0.12,0.5,0.2836,5
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,1,0.12,0.5,0.2836,1
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,2,0.12,0.5,0.2239,3
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,3,0.12,0.5,0.2239,1
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,4,0.1,0.54,0.1343,3
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,5,0.1,0.54,0.2537,3
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,6,0.12,0.5,0.2836,31
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,7,0.12,0.5,0.2239,77
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,8,0.12,0.5,0.2836,188
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,9,0.14,0.5,0.2537,94
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,10,0.14,0.5,0.2985,31
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,11,0.16,0.47,0.2836,30
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,12,0.2,0.4,0.2836,52
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,13,0.2,0.4,0.2836,54
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,14,0.2,0.4,0.2239,47
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,15,0.2,0.4,0.2239,45
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,16,0.2,0.4,0.1343,74
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,17,0.2,0.4,0.1045,178
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,18,0.2,0.4,0.2239,155
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,19,0.16,0.47,0.1642,95
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,20,0.16,0.5,0.1642,74
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,21,0.14,0.59,0.194,38
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,22,0.14,0.59,0.1642,24
2011-01-10,1,0,1,1,1,1,0.150833,0.482917,0.223267,1321,Clear,23,0.14,0.59,0.1642,18
2011-01-11,1,0,1,2,1,2,0.169091,0.686364,0.122132,1263,Misty,0,0.14,0.59,0.1045,12
2011-01-11,1,0,1,2,1,2,0.169091,0.686364,0.122132,1263,Misty,1,0.14,0.59,0.1642,3
2011-01-11,1,0,1,2,1,2,0.169091,0.686364,0.122132,1263,Misty,2,0.16,0.55,0.194,3
2011-01-11,1,0,1,2,1,2,0.169091,0.686364,0.122132,1263,Misty,5,0.16,0.55,0.1343,6
2011-01-11,1,0,1,2,1,2,0.169091,0.686364,0.122132,1263,Misty,6,0.16,0.55,0.1343,27
2011-01-11,1,0,1,2,1,2,0.169091,0.686364,0.122132,1263,Misty,7,0.16,0.55,0.0,99
2011-01-11,1,0,1,2,1,2,0.169091,0.686364,0.122132,1263,Misty,8,0.18,0.51,0.0896,217
2011-01-11,1,0,1,2,1,2,0.169091,0.686364,0.122132,1263,Misty,9,0.18,0.51,0.1642,130
